date,export_yoy,semi_yoy,note
2025-12-31,13.3,43.1,관세청 확정치
2026-01-31,33.8,102.5,관세청 확정치
2026-06-30,70.7,0,관세청 확정치-반도체 YoY는 원문 확인 후 입력
